tʰi˩˥	tʰ i ˩˥  
dɑ˧zo˧ʝi˥	d ɑ ˧ z o ˧ ʝ i ˥  
dɑ˩˥	d ɑ ˩˥  
dɤ˧˥	d ɤ ˧˥  
dʑi˧hṽ˧mv̩˩di˩	dʑ i ˧ h ṽ ˧ m v̩ ˩ d i ˩  
dʑi˧hṽ̩˥ʈʂʰɯ˩dʑo˩	dʑ i ˧ h ṽ̩ ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
dʑi˧mi˧dʑo˩	dʑ i ˧ m i ˧ dʑ o ˩  
dʑi˧mi˧po˩ɳɯ˩	dʑ i ˧ m i ˧ p o ˩ ɳ ɯ ˩  
dʑi˧mi˧ʈʂʰɯ˧	dʑ i ˧ m i ˧ ʈʂʰ ɯ ˧  
dʑi˩hṽ˩ʈʂʰɯ˩dʑo˩	dʑ i ˩ h ṽ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
dʑo	dʑ o  
dʑo˥kv̩˩	dʑ o ˥ k v̩ ˩  
dʑo˥kwɤ˩tɕɯ˩lɑ˩	dʑ o ˥ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
dʑo˧bi˧	dʑ o ˧ b i ˧  
dʑo˧dʑo˧	dʑ o ˧ dʑ o ˧  
dʑo˧hĩ˥	dʑ o ˧ h ĩ ˥  
dʑo˧hĩ˥dʑo˩	dʑ o ˧ h ĩ ˥ dʑ o ˩  
dʑo˧hĩ˥ɻæ˩	dʑ o ˧ h ĩ ˥ ɻ æ ˩  
dʑo˧hĩ˥ɻæ˩dʑo˩	dʑ o ˧ h ĩ ˥ ɻ æ ˩ dʑ o ˩  
dʑo˧hɯ˧dʑo˧ɻ̍˥	dʑ o ˧ h ɯ ˧ dʑ o ˧ ɻ̍ ˥  
dʑo˧kv̩˥mæ˩	dʑ o ˧ k v̩ ˥ m æ ˩  
dʑo˧kv̩˧tsɯ˥	dʑ o ˧ k v̩ ˧ ts ɯ ˥  
dʑo˧kv̩˧tsɯ˥mv̩˩	dʑ o ˧ k v̩ ˧ ts ɯ ˥ m v̩ ˩  
dʑo˧kv̩˩mæ˩	dʑ o ˧ k v̩ ˩ m æ ˩  
dʑo˧kwɤ˧tɕɯ˥	dʑ o ˧ k wɤ ˧ tɕ ɯ ˥  
dʑo˧tsɯ˧˥	dʑ o ˧ ts ɯ ˧˥  
dʑo˧ze˥mæ˩	dʑ o ˧ z e ˥ m æ ˩  
dʑo˧zo˩	dʑ o ˧ z o ˩  
dʑo˧ɲi˥kv̩˩tsɯ˩	dʑ o ˧ ɲ i ˥ k v̩ ˩ ts ɯ ˩  
dʑo˧ɲi˥lɑ˩	dʑ o ˧ ɲ i ˥ l ɑ ˩  
dʑo˧ɲi˥wɤ˩	dʑ o ˧ ɲ i ˥ wɤ ˩  
dʑo˧ɲi˥ze˩	dʑ o ˧ ɲ i ˥ z e ˩  
dʑo˧ɲi˥ʝi˩ze˩	dʑ o ˧ ɲ i ˥ ʝ i ˩ z e ˩  
dʑo˧ʁo˧ɲi˥	dʑ o ˧ ʁ o ˧ ɲ i ˥  
dʑo˩bi˩pi˩bi˩bi˩	dʑ o ˩ b i ˩ p i ˩ b i ˩ b i ˩  
dʑo˩hĩ˥	dʑ o ˩ h ĩ ˥  
dʑo˩hĩ˩dʑo˩	dʑ o ˩ h ĩ ˩ dʑ o ˩  
dʑo˩kv̩˥ɲi˩	dʑ o ˩ k v̩ ˥ ɲ i ˩  
dʑo˩kv̩˩dʑo˩	dʑ o ˩ k v̩ ˩ dʑ o ˩  
dʑo˩kv̩˩tsɯ˥	dʑ o ˩ k v̩ ˩ ts ɯ ˥  
dʑo˩kv̩˩tsɯ˩mv̩˩	dʑ o ˩ k v̩ ˩ ts ɯ ˩ m v̩ ˩  
dʑo˩kv̩˩ze˩	dʑ o ˩ k v̩ ˩ z e ˩  
dʑo˩lɑ˥	dʑ o ˩ l ɑ ˥  
dʑo˩mæ˩	dʑ o ˩ m æ ˩  
dʑo˩pi˩tsɯ˩	dʑ o ˩ p i ˩ ts ɯ ˩  
dʑo˩sɯ˩mæ˥	dʑ o ˩ s ɯ ˩ m æ ˥  
dʑo˩tsɯ˩mv̩˩	dʑ o ˩ ts ɯ ˩ m v̩ ˩  
dʑo˩ze˥se˩	dʑ o ˩ z e ˥ s e ˩  
dʑo˩ze˩	dʑ o ˩ z e ˩  
dʑo˩ze˩mæ˩	dʑ o ˩ z e ˩ m æ ˩  
dʑo˩ɲi˥mæ˩	dʑ o ˩ ɲ i ˥ m æ ˩  
dʑo˩ɲi˥tsɯ˩	dʑ o ˩ ɲ i ˥ ts ɯ ˩  
dʑo˩ɲi˩ho˩ze˩mæ˩	dʑ o ˩ ɲ i ˩ h o ˩ z e ˩ m æ ˩  
dʑo˩ɲi˩mæ˩	dʑ o ˩ ɲ i ˩ m æ ˩  
dʑo˩ɲi˩tsɯ˩mv̩˩	dʑ o ˩ ɲ i ˩ ts ɯ ˩ m v̩ ˩  
dʑo˩ɻ̍˥dʑo˩	dʑ o ˩ ɻ̍ ˥ dʑ o ˩  
dʑo˩ɻ̍˩	dʑ o ˩ ɻ̍ ˩  
dʑo˩ɻ̍˩dʑo˩	dʑ o ˩ ɻ̍ ˩ dʑ o ˩  
dʑɤ˥bv̩˩dʑo˩	dʑ ɤ ˥ b v̩ ˩ dʑ o ˩  
dʑɤ˧bo˩	dʑ ɤ ˧ b o ˩  
dʑɤ˧do˩bv̩˩	dʑ ɤ ˧ d o ˩ b v̩ ˩  
dʑɤ˧˥	dʑ ɤ ˧˥  
dʑɤ˩bv̩˥ɲi˩tsɯ˩	dʑ ɤ ˩ b v̩ ˥ ɲ i ˩ ts ɯ ˩  
dʑɤ˩bv̩˧	dʑ ɤ ˩ b v̩ ˧  
dʑɤ˩bv̩˧dʑo˩	dʑ ɤ ˩ b v̩ ˧ dʑ o ˩  
dʑɤ˩ho˥	dʑ ɤ ˩ h o ˥  
dʑɤ˩kʰwɤ˩	dʑ ɤ ˩ kʰ wɤ ˩  
dʑɤ˩tsʰo˧dʑo˧	dʑ ɤ ˩ tsʰ o ˧ dʑ o ˧  
dʑɤ˩tsʰo˧jo˧kv̩˧˥	dʑ ɤ ˩ tsʰ o ˧ jo ˧ k v̩ ˧˥  
dʑɤ˩tsʰo˧kv̩˧ze˥mæ˩	dʑ ɤ ˩ tsʰ o ˧ k v̩ ˧ z e ˥ m æ ˩  
dʑɤ˩ɭɯ˧	dʑ ɤ ˩ ɭ ɯ ˧  
dʑɯ	dʑ ɯ  
dʑɯ˧mi˧	dʑ ɯ ˧ m i ˧  
dʑɯ˧ɭɯ˧bv̩˧	dʑ ɯ ˧ ɭ ɯ ˧ b v̩ ˧  
dʑɯ˧ɭɯ˧hɑ˧ʈʂʰɯ˧	dʑ ɯ ˧ ɭ ɯ ˧ h ɑ ˧ ʈʂʰ ɯ ˧  
dʑɯ˧ɳɯ˧	dʑ ɯ ˧ ɳ ɯ ˧  
dʑɯ˧ʈʂʰwæ˧ho˧ʈʂʰɯ˧	dʑ ɯ ˧ ʈʂʰ wæ ˧ h o ˧ ʈʂʰ ɯ ˧  
dʑɯ˩dʑo˥	dʑ ɯ ˩ dʑ o ˥  
dʑɯ˩mɤ˩dʑɯ˩	dʑ ɯ ˩ m ɤ ˩ dʑ ɯ ˩  
dʑɯ˩nɑ˩mi˩	dʑ ɯ ˩ n ɑ ˩ m i ˩  
dʑɯ˩nɑ˩mi˩bv̩˩˥	dʑ ɯ ˩ n ɑ ˩ m i ˩ b v̩ ˩˥  
dʑɯ˩nɑ˩mi˩ʁo˥	dʑ ɯ ˩ n ɑ ˩ m i ˩ ʁ o ˥  
dʑɯ˩pʰæ˩ʈwæ˥bi˩	dʑ ɯ ˩ pʰ æ ˩ ʈ wæ ˥ b i ˩  
dʑɯ˩si˩bi˥di˩hĩ˩	dʑ ɯ ˩ s i ˩ b i ˥ d i ˩ h ĩ ˩  
dʑɯ˩sɯ˥	dʑ ɯ ˩ s ɯ ˥  
dʑɯ˩tsʰi˩qo˥mv̩˩	dʑ ɯ ˩ tsʰ i ˩ q o ˥ m v̩ ˩  
dʑɯ˩ɳɯ˥	dʑ ɯ ˩ ɳ ɯ ˥  
dʑɯ˩ʁo˩hĩ	dʑ ɯ ˩ ʁ o ˩ h ĩ  
dʑɯ˩ʁo˩kʰi˥zo˩	dʑ ɯ ˩ ʁ o ˩ kʰ i ˥ z o ˩  
dʑɯ˩ʁo˩ɳɯ˥	dʑ ɯ ˩ ʁ o ˩ ɳ ɯ ˥  
dʑɯ˩ʁo˩ʈʂʰɯ˥	dʑ ɯ ˩ ʁ o ˩ ʈʂʰ ɯ ˥  
dʑɯ˩ʁo˩ʈʂʰɯ˥dʑo˩	dʑ ɯ ˩ ʁ o ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
dʑɯ˩ʈʂʰɯ˥dʑo˩	dʑ ɯ ˩ ʈʂʰ ɯ ˥ dʑ o ˩  
dʑɯ˩ʈʂʰɯ˩ʈʰɤ˩˥	dʑ ɯ ˩ ʈʂʰ ɯ ˩ ʈʰ ɤ ˩˥  
dʑɯ˩ʈʰæ˩qo˥	dʑ ɯ ˩ ʈʰ æ ˩ q o ˥  
ejo	e jo  
fv	f v  
fv̩˧kv̩˧ze˥mæ˩	f v̩ ˧ k v̩ ˧ z e ˥ m æ ˩  
fv̩˧ʂɯ˩	f v̩ ˧ ʂ ɯ ˩  
fv̩˧ʝi˧ɲi˥tsɯ˩	f v̩ ˧ ʝ i ˧ ɲ i ˥ ts ɯ ˩  
fɑ˩pje˧zo˩	f ɑ ˩ p j e ˧ z o ˩  
gi˥	g i ˥  
gi˧dʑɯ˧dʑo˧qɑ˧	g i ˧ dʑ ɯ ˧ dʑ o ˧ q ɑ ˧  
gi˧dʑɯ˧ki˧	g i ˧ dʑ ɯ ˧ k i ˧  
gi˧mɤ˧kv̩˩tsɯ˩	g i ˧ m ɤ ˧ k v̩ ˩ ts ɯ ˩  
gi˧tɕʰo˧gi˥lɑ˩	g i ˧ tɕʰ o ˧ g i ˥ l ɑ ˩  
gi˧ʁo˧to˩ɳɯ˩	g i ˧ ʁ o ˧ t o ˩ ɳ ɯ ˩  
gi˩ho˥	g i ˩ h o ˥  
gi˩ho˥pʰæ˩di˩	g i ˩ h o ˥ pʰ æ ˩ d i ˩  
gi˩mɤ˩kv̩˥tsɯ˩	g i ˩ m ɤ ˩ k v̩ ˥ ts ɯ ˩  
go˧bɤ˩bv̩˩	g o ˧ b ɤ ˩ b v̩ ˩  
go˧mi˥ʈʂʰɯ˩dʑo˩	g o ˧ m i ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
go˧mi˧dʑo˩	g o ˧ m i ˧ dʑ o ˩  
go˧mi˧ʈʂʰɯ˧	g o ˧ m i ˧ ʈʂʰ ɯ ˧  
go˧˥	g o ˧˥  
go˩dʑo˩	g o ˩ dʑ o ˩  
go˩kv̩˩˥	g o ˩ k v̩ ˩˥  
go˩kwɤ˩tɕɯ˥lɑ˩	g o ˩ k wɤ ˩ tɕ ɯ ˥ l ɑ ˩  
go˩pi˩	g o ˩ p i ˩  
go˩tsɯ˥	g o ˩ ts ɯ ˥  
go˩ɲi˩	g o ˩ ɲ i ˩  
gv̩˥ɲi˩	g v̩ ˥ ɲ i ˩  
gv̩˧dv̩˧gv̩˧mi˧	g v̩ ˧ d v̩ ˧ g v̩ ˧ m i ˧  
gv̩˧gv̩˥	g v̩ ˧ g v̩ ˥  
gv̩˧hɑ̃˩	g v̩ ˧ h ɑ̃ ˩  
gv̩˧hɑ̃˩ki˩	g v̩ ˧ h ɑ̃ ˩ k i ˩  
gv̩˧kv̩˩	g v̩ ˧ k v̩ ˩  
gv̩˧kwɤ˩tɕɯ˩lɑ˩	g v̩ ˧ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
gv̩˧mɤ˧ʝi˧	g v̩ ˧ m ɤ ˧ ʝ i ˧  
gv̩˧pi˩hĩ˩	g v̩ ˧ p i ˩ h ĩ ˩  
gv̩˧ɭɯ˧di˩	g v̩ ˧ ɭ ɯ ˧ d i ˩  
gv̩˧ɲi˥ʝi˩	g v̩ ˧ ɲ i ˥ ʝ i ˩  
gv̩˩bi˩	g v̩ ˩ b i ˩  
gv̩˩dʑo˩	g v̩ ˩ dʑ o ˩  
gv̩˩dʑɯ˩˥	g v̩ ˩ dʑ ɯ ˩˥  
gv̩˩k	g v̩ ˩ k  
gv̩˩kv̩˩hĩ˥	g v̩ ˩ k v̩ ˩ h ĩ ˥  
gv̩˩kv̩˩hĩ˥ʈʂʰɯ˩	g v̩ ˩ k v̩ ˩ h ĩ ˥ ʈʂʰ ɯ ˩  
gv̩˩kv̩˩˥	g v̩ ˩ k v̩ ˩˥  
gv̩˩kwɤ˩tɕɯ˩lɑ˩	g v̩ ˩ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
gv̩˩kʰɯ˥	g v̩ ˩ kʰ ɯ ˥  
gv̩˩mɤ˩kv̩˥hĩ˩ɳɯ˩	g v̩ ˩ m ɤ ˩ k v̩ ˥ h ĩ ˩ ɳ ɯ ˩  
gv̩˩nɑ˩hĩ˥	g v̩ ˩ n ɑ ˩ h ĩ ˥  
gv̩˩pi˥zo˩	g v̩ ˩ p i ˥ z o ˩  
gv̩˩pʰæ˩sɯ˥	g v̩ ˩ pʰ æ ˩ s ɯ ˥  
gv̩˩pʰæ˩ʈʂʰɯ˥	g v̩ ˩ pʰ æ ˩ ʈʂʰ ɯ ˥  
gv̩˩sɯ˩dʑo˩	g v̩ ˩ s ɯ ˩ dʑ o ˩  
gv̩˩tso˩ɲi˥ze˩	g v̩ ˩ ts o ˩ ɲ i ˥ z e ˩  
gv̩˩tsɯ˩	g v̩ ˩ ts ɯ ˩  
gv̩˩ɬi˩mi˩qo˥ɳɯ˩	g v̩ ˩ ɬ i ˩ m i ˩ q o ˥ ɳ ɯ ˩  
gv̩˩ɬi˩mi˩ɳɯ˥	g v̩ ˩ ɬ i ˩ m i ˩ ɳ ɯ ˥  
gv̩˩ɲi˥ze˩	g v̩ ˩ ɲ i ˥ z e ˩  
gv̩˩ɲi˩tsɯ˩	g v̩ ˩ ɲ i ˩ ts ɯ ˩  
gv̩˩ɳɯ˥	g v̩ ˩ ɳ ɯ ˥  
gv̩˩ɳɯ˩	g v̩ ˩ ɳ ɯ ˩  
gwɤ˩	g wɤ ˩  
gwɤ˩bi˩	g wɤ ˩ b i ˩  
gwɤ˩bi˩pi˩	g wɤ ˩ b i ˩ p i ˩  
gwɤ˩bi˩zo˩kv̩˩mæ˩	g wɤ ˩ b i ˩ z o ˩ k v̩ ˩ m æ ˩  
gwɤ˩kv̩˥mæ˩	g wɤ ˩ k v̩ ˥ m æ ˩  
gwɤ˩kʰi˥ɲi˩	g wɤ ˩ kʰ i ˥ ɲ i ˩  
gwɤ˩˥	g wɤ ˩˥  
gæ˩pʰæ˧dʑo˥	g æ ˩ pʰ æ ˧ dʑ o ˥  
gæ˩pʰæ˧pi˧	g æ ˩ pʰ æ ˧ p i ˧  
gɤ	g ɤ  
gɤ˥	g ɤ ˥  
gɤ˥ti˩ho˩ze˩	g ɤ ˥ t i ˩ h o ˩ z e ˩  
gɤ˧bi˧dʑo˩	g ɤ ˧ b i ˧ dʑ o ˩  
gɤ˧bi˧no˧˥	g ɤ ˧ b i ˧ n o ˧˥  
gɤ˧lɑ˧ʑi˩di˩	g ɤ ˧ l ɑ ˧ ʑ i ˩ d i ˩  
gɤ˧lɑ˧ʑi˩qo˩	g ɤ ˧ l ɑ ˧ ʑ i ˩ q o ˩  
gɤ˧lɑ˧ʑi˩qo˩sɯ˩	g ɤ ˧ l ɑ ˧ ʑ i ˩ q o ˩ s ɯ ˩  
gɤ˩do˧	g ɤ ˩ d o ˧  
gɤ˩dzɤ˥ɳɯ˩	g ɤ ˩ dz ɤ ˥ ɳ ɯ ˩  
gɤ˩dzɤ˧	g ɤ ˩ dz ɤ ˧  
gɤ˩gɤ˧˥	g ɤ ˩ g ɤ ˧˥  
gɤ˩hĩ˧	g ɤ ˩ h ĩ ˧  
gɤ˩mɤ˧ʈʂʰwæ˧	g ɤ ˩ m ɤ ˧ ʈʂʰ wæ ˧  
gɤ˩pɤ˧dʑo˩	g ɤ ˩ p ɤ ˧ dʑ o ˩  
gɤ˩pɤ˧kwɤ˩tɕɯ˩lɑ˩	g ɤ ˩ p ɤ ˧ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
gɤ˩qwɤ˧ki˧	g ɤ ˩ q wɤ ˧ k i ˧  
gɤ˩se˩	g ɤ ˩ s e ˩  
gɤ˩tse˩	g ɤ ˩ ts e ˩  
gɤ˩tso˧	g ɤ ˩ ts o ˧  
gɤ˩tɕo˧ɻ̍˩	g ɤ ˩ tɕ o ˧ ɻ̍ ˩  
gɤ˩tɕʰɯ˧ni˧˥	g ɤ ˩ tɕʰ ɯ ˧ n i ˧˥  
gɤ˩tʰv̩˧	g ɤ ˩ tʰ v̩ ˧  
gɤ˩ʁɑ˧lɑ˧	g ɤ ˩ ʁ ɑ ˧ l ɑ ˧  
gɤ˩ʈi˧kwɤ˩tɕɯ˩lɑ˩	g ɤ ˩ ʈ i ˧ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
gɤ˩ʈi˧tʰɑ˧ho˥	g ɤ ˩ ʈ i ˧ tʰ ɑ ˧ h o ˥  
gɤ˩ʈi˧ze˩tsɯ˩	g ɤ ˩ ʈ i ˧ z e ˩ ts ɯ ˩  
gɤ˩ʈʂwɤ˧kwɤ˧tɕɯ˥	g ɤ ˩ ʈʂ wɤ ˧ k wɤ ˧ tɕ ɯ ˥  
gɤ˩ʈʂʰwæ˧dʑo˥	g ɤ ˩ ʈʂʰ wæ ˧ dʑ o ˥  
gɤ˩ʈʂʰæ˧˥	g ɤ ˩ ʈʂʰ æ ˧˥  
gɤ˩ʈʂʰɯ˧qo˧	g ɤ ˩ ʈʂʰ ɯ ˧ q o ˧  
gɤ˩ʑi˥kv̩˩ze˩	g ɤ ˩ ʑ i ˥ k v̩ ˩ z e ˩  
gɤ˩ʑi˧lɑ˧	g ɤ ˩ ʑ i ˧ l ɑ ˧  
gɤ˩ʑi˩kv̩˩	g ɤ ˩ ʑ i ˩ k v̩ ˩  
gɤ˩ʑi˩kv̩˩ze˩	g ɤ ˩ ʑ i ˩ k v̩ ˩ z e ˩  
gɯ˧ɳɯ˧	g ɯ ˧ ɳ ɯ ˧  
gɯ˧ʐwɤ˧zo˧kv̩˧˥	g ɯ ˧ ʐ wɤ ˧ z o ˧ k v̩ ˧˥  
gɯ˩ɲi˥ho˩	g ɯ ˩ ɲ i ˥ h o ˩  
gɯ˩ɲi˥wɤ˩	g ɯ ˩ ɲ i ˥ wɤ ˩  
hhhh	h h h h  
hhhɑ̃	h h h ɑ̃  
hi˩mi˩po˥ɳɯ˩	h i ˩ m i ˩ p o ˥ ɳ ɯ ˩  
hi˩nɑ˧mi˧ʈʂʰɯ˧	h i ˩ n ɑ ˧ m i ˧ ʈʂʰ ɯ ˧  
hi˩ʈʂʰɯ˥	h i ˩ ʈʂʰ ɯ ˥  
hĩ	h ĩ  
hĩ˥	h ĩ ˥  
hĩ˧b	h ĩ ˧ b  
hĩ˧ki˧ki˩hĩ˩	h ĩ ˧ k i ˧ k i ˩ h ĩ ˩  
hĩ˧mmm…	h ĩ ˧ mmm…  
hĩ˧mo˥hĩ˩	h ĩ ˧ m o ˥ h ĩ ˩  
hĩ˧mo˥hĩ˩ki˩	h ĩ ˧ m o ˥ h ĩ ˩ k i ˩  
hĩ˧mo˥hĩ˩ɳɯ˩	h ĩ ˧ m o ˥ h ĩ ˩ ɳ ɯ ˩  
hĩ˧mo˥ɻæ˩dʑo˩	h ĩ ˧ m o ˥ ɻ æ ˩ dʑ o ˩  
hĩ˧mo˥ɻæ˩ki˩	h ĩ ˧ m o ˥ ɻ æ ˩ k i ˩  
hĩ˧mo˩	h ĩ ˧ m o ˩  
hĩ˧mo˩tɕɯ˩di˩ɲi˩	h ĩ ˧ m o ˩ tɕ ɯ ˩ d i ˩ ɲ i ˩  
hĩ˧qʰæ˧po˩ɳɯ˩	h ĩ ˧ qʰ æ ˧ p o ˩ ɳ ɯ ˩  
hĩ˧se˧di˧˥	h ĩ ˧ s e ˧ d i ˧˥  
hĩ˧tsɯ˥	h ĩ ˧ ts ɯ ˥  
hĩ˧tɕʰɯ˧	h ĩ ˧ tɕʰ ɯ ˧  
hĩ˧v̩˧	h ĩ ˧ v̩ ˧  
hĩ˧zɯ˧zɯ˥	h ĩ ˧ z ɯ ˧ z ɯ ˥  
hĩ˧zɯ˧zɯ˥ʈʂʰɯ˩dʑo˩	h ĩ ˧ z ɯ ˧ z ɯ ˥ ʈʂʰ ɯ ˩ dʑ o ˩  
hĩ˧ɲi˩tʰo˩	h ĩ ˧ ɲ i ˩ tʰ o ˩  
hĩ˧ɳɯ˩dʑo˩	h ĩ ˧ ɳ ɯ ˩ dʑ o ˩  
hĩ˧ɻæ˥ɳɯ˩	h ĩ ˧ ɻ æ ˥ ɳ ɯ ˩  
hĩ˧ɻæ˧qɑ˥	h ĩ ˧ ɻ æ ˧ q ɑ ˥  
hĩ˧ʈʂɤ˧	h ĩ ˧ ʈʂ ɤ ˧  
hĩ˩tsʰɯ˩ni˩	h ĩ ˩ tsʰ ɯ ˩ n i ˩  
hĩ˩ʈʂʰɯ˩dʑo˩	h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
hmmm…	h mmm…  
ho˧di˧bv̩˧	h o ˧ d i ˧ b v̩ ˧  
ho˧di˧dʑo˥	h o ˧ d i ˧ dʑ o ˥  
ho˧di˧ni˧fv̩˥pi˩	h o ˧ d i ˧ n i ˧ f v̩ ˥ p i ˩  
ho˧di˧pi˧	h o ˧ d i ˧ p i ˧  
ho˧di˧ɕi˧ʈʂʰwæ˧pi˧	h o ˧ d i ˧ ɕ i ˧ ʈʂʰ wæ ˧ p i ˧  
ho˧di˧ɳɯ˧	h o ˧ d i ˧ ɳ ɯ ˧  
ho˧di˧ʂe˧ʈʂe˩pi˩	h o ˧ d i ˧ ʂ e ˧ ʈʂ e ˩ p i ˩  
ho˧zo˥	h o ˧ z o ˥  
ho˩bi˩bi˩	h o ˩ b i ˩ b i ˩  
ho˩hĩ˥	h o ˩ h ĩ ˥  
ho˩tʰɑ˩˥	h o ˩ tʰ ɑ ˩˥  
ho˩ɲi˩	h o ˩ ɲ i ˩  
ho˩˥	h o ˩˥  
hõ	h õ  
hõ˧kv̩˥	h õ ˧ k v̩ ˥  
hõ˧pi˧	h õ ˧ p i ˧  
hõ˧ɬi˧mi˧kʰɤ˧ʂɯ˧	h õ ˧ ɬ i ˧ m i ˧ kʰ ɤ ˧ ʂ ɯ ˧  
hõ˧ɬi˧mi˧qo˩	h õ ˧ ɬ i ˧ m i ˧ q o ˩  
hõ˧ɭɯ˥	h õ ˧ ɭ ɯ ˥  
hõ˩	h õ ˩  
hõ˩bi˥	h õ ˩ b i ˥  
hõ˩tsʰi˧kʰv̩˥hĩ˩	h õ ˩ tsʰ i ˧ kʰ v̩ ˥ h ĩ ˩  
hu˧mi˥	h u ˧ m i ˥  
hu˧mi˧	h u ˧ m i ˧  
hṽ˧	h ṽ ˧  
hṽ˩ɖʐæ˩ɻæ˥zo˩	h ṽ ˩ ɖʐ æ ˩ ɻ æ ˥ z o ˩  
hṽ̩	h ṽ̩  
hṽ̩˧nɑ˩ni˩gv̩˩	h ṽ̩ ˧ n ɑ ˩ n i ˩ g v̩ ˩  
hṽ̩˩hĩ˩qo˥	h ṽ̩ ˩ h ĩ ˩ q o ˥  
hw	h w  
hwæ˥dʑo˩	h wæ ˥ dʑ o ˩  
hwæ˥kv̩˩ze˩mæ˩	h wæ ˥ k v̩ ˩ z e ˩ m æ ˩  
hwæ˧kv̩˧ze˥mæ˩	h wæ ˧ k v̩ ˧ z e ˥ m æ ˩  
hwæ˧mɤ˧zo˧	h wæ ˧ m ɤ ˧ z o ˧  
hwæ˩kʰɯ˩bi˩	h wæ ˩ kʰ ɯ ˩ b i ˩  
hwæ˩ze˩	h wæ ˩ z e ˩  
hwɤ˥	h wɤ ˥  
hwɤ˧li˥	h wɤ ˧ l i ˥  
hwɤ˧li˧tʰv̩˥	h wɤ ˧ l i ˧ tʰ v̩ ˥  
hwɤ˧tɕʰi˥ʁo˩bv̩˩	h wɤ ˧ tɕʰ i ˥ ʁ o ˩ b v̩ ˩  
hwɤ˩	h wɤ ˩  
hwɤ˩dʑɯ˩qo˥	h wɤ ˩ dʑ ɯ ˩ q o ˥  
hwɤ˩hĩ˩	h wɤ ˩ h ĩ ˩  
hwɤ˩kv̩˩mæ˩	h wɤ ˩ k v̩ ˩ m æ ˩  
hwɤ˩kv̩˩ze˩mæ˩	h wɤ ˩ k v̩ ˩ z e ˩ m æ ˩  
hwɤ˩tsʰɯ˩	h wɤ ˩ tsʰ ɯ ˩  
hwɤ˩tsʰɯ˩pi˩	h wɤ ˩ tsʰ ɯ ˩ p i ˩  
hwɤ˩ɲi˩	h wɤ ˩ ɲ i ˩  
hæ˧di˩dʑo˩	h æ ˧ d i ˩ dʑ o ˩  
hæ˧ni˩zo˩	h æ ˧ n i ˩ z o ˩  
hæ˧pɑ˩	h æ ˧ p ɑ ˩  
hæ˧ʈʂʰɯ˧dʑo˩	h æ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
hæ̃˧do˧	h æ̃ ˧ d o ˧  
hæ̃˧do˧qo˧	h æ̃ ˧ d o ˧ q o ˧  
hæ̃˧kʰɤ˧	h æ̃ ˧ kʰ ɤ ˧  
hæ̃˧qʰv̩˥dʑo˩	h æ̃ ˧ qʰ v̩ ˥ dʑ o ˩  
hæ̃˧ʈʂʰɯ˧	h æ̃ ˧ ʈʂʰ ɯ ˧  
hæ̃˧˥	h æ̃ ˧˥  
hæ̃˩bɑ˥lɑ˩	h æ̃ ˩ b ɑ ˥ l ɑ ˩  
hæ̃˩bɑ˥lɑ˩bɑ˩lɑ˩	h æ̃ ˩ b ɑ ˥ l ɑ ˩ b ɑ ˩ l ɑ ˩  
hæ̃˩dʑo˩tsɯ˩	h æ̃ ˩ dʑ o ˩ ts ɯ ˩  
hæ̃˩kv̩˥ze˩	h æ̃ ˩ k v̩ ˥ z e ˩  
hæ̃˩lo˩pv̩˩˥	h æ̃ ˩ l o ˩ p v̩ ˩˥  
hæ̃˩ni˩gv̩˩ɲi˥ze˩mæ˩	h æ̃ ˩ n i ˩ g v̩ ˩ ɲ i ˥ z e ˩ m æ ˩  
hɑ˧ɭɯ˧	h ɑ ˧ ɭ ɯ ˧  
hɑ˧ʈʂʰɯ˧dʑo˩	h ɑ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
hɑ˧ʐwɤ˩dʑo˩	h ɑ ˧ ʐ wɤ ˩ dʑ o ˩  
hɑ˧ʐwɤ˩kv̩˩tsɯ˩	h ɑ ˧ ʐ wɤ ˩ k v̩ ˩ ts ɯ ˩  
hɑ˧ʐwɤ˩kʰɯ˩	h ɑ ˧ ʐ wɤ ˩ kʰ ɯ ˩  
hɑ˧ʐwɤ˩zo˩	h ɑ ˧ ʐ wɤ ˩ z o ˩  
hɑ˩	h ɑ ˩  
hɑ˩dʑo˩	h ɑ ˩ dʑ o ˩  
hɑ̃˧tsɯ˥	h ɑ̃ ˧ ts ɯ ˥  
hɑ̃˧ʝi˧kʰɯ˩	h ɑ̃ ˧ ʝ i ˧ kʰ ɯ ˩  
hɑ̃˩ɖʐɯ˩ze˥	h ɑ̃ ˩ ɖʐ ɯ ˩ z e ˥  
hɤ˥	h ɤ ˥  
