tɕe	t ɕ e
mɯpɯrɤʑia	m ɯ p ɯ r ɤ ʑ i a
mɯrkuj	m ɯ r k u j
mɯtokhɯndʑi	m ɯ t o k h ɯ n d ʑ i
mɯtonɯβdaʁ	m ɯ t o n ɯ β d a ʁ
mɯtope	m ɯ t o p e
mɯtorɯdzaŋspa	m ɯ t o r ɯ d z a ŋ s p a
mɯtorɯɕmi	m ɯ t o r ɯ ɕ m i
mɯtostu	m ɯ t o s t u
mɯtówɣtsɯm	m ɯ t o ́ w ɣ t s ɯ m
mɯtoβzu	m ɯ t o β z u
mɯtɤnɯsɯmŋana	m ɯ t ɤ n ɯ s ɯ m ŋ a n a
mɯtɤnɯt	m ɯ t ɤ n ɯ t
mɯtɤtsua	m ɯ t ɤ t s u a
mɯtɤtɯtɯt	m ɯ t ɤ t ɯ t ɯ t
mɯɲɤmɯnmundʑi	m ɯ ɲ ɤ m ɯ n m u n d ʑ i
mɯɲɤnɤstu	m ɯ ɲ ɤ n ɤ s t u
mɯɲɤnɤznɯ	m ɯ ɲ ɤ n ɤ z n ɯ
mɯɲɤnɯmto	m ɯ ɲ ɤ n ɯ m t o
mɯɲɤɣi	m ɯ ɲ ɤ ɣ i
mɯɲɤχsɤl	m ɯ ɲ ɤ χ s ɤ l
mɯɲɯmɯnmu	m ɯ ɲ ɯ m ɯ n m u
mɯɲɯnɯsɯxtɕhaʁ	m ɯ ɲ ɯ n ɯ s ɯ x t ɕ h a ʁ
mɯɲɯɤrtsi	m ɯ ɲ ɯ ɤ r t s i
mɯɲɯɤrŋi	m ɯ ɲ ɯ ɤ r ŋ i
mɯɴɢɯ	m ɯ ɴ ɢ ɯ
mɯ́j	m ɯ ́ j
mɯ́jdɤn	m ɯ ́ j d ɤ n
mɯ́jkɯcha	m ɯ ́ j k ɯ c h a
mɯ́jkɯsɯɣnɤz	m ɯ ́ j k ɯ s ɯ ɣ n ɤ z
mɯ́jkɯɤɲaj	m ɯ ́ j k ɯ ɤ ɲ a j
mɯ́jnɤrtaʁ	m ɯ ́ j n ɤ r t a ʁ
mɯ́jnɤz	m ɯ ́ j n ɤ z
mɯ́jschi	m ɯ ́ j s c h i
mɯ́jsɤjndɤt	m ɯ ́ j s ɤ j n d ɤ t
mɯ́jsɤmto	m ɯ ́ j s ɤ m t o
mɯ́jsɯsɤm	m ɯ ́ j s ɯ s ɤ m
mɯ́jsɯxtɕhaʁ	m ɯ ́ j s ɯ x t ɕ h a ʁ
mɯ́jsɯza	m ɯ ́ j s ɯ z a
mɯ́jtɯcha	m ɯ ́ j t ɯ c h a
mɯ́jtɯpe	m ɯ ́ j t ɯ p e
mɯ́jwɣrum	m ɯ ́ j w ɣ r u m
mɯ́jxtɕhɯt	m ɯ ́ j x t ɕ h ɯ t
mɯ́jβze	m ɯ ́ j β z e
mɲaʁtɕɣɤt	m ɲ a ʁ t ɕ ɣ ɤ t
mɲɯrɯri	m ɲ ɯ r ɯ r i
nafsoʁ	n a f s o ʁ
nasqhiar	n a s q h i a r
nasɤβzu	n a s ɤ β z u
nasɯɣromnɯ	n a s ɯ ɣ r o m n ɯ
nasɯβzu	n a s ɯ β z u
natɕhico	n a t ɕ h i c o
naŋma	n a ŋ m a
naʑa	n a ʑ a
naβzunɯ	n a β z u n ɯ
naχkɯ	n a χ k ɯ
naχtɤr	n a χ t ɤ r
ndoʁ	n d o ʁ
ndzambaɬa	n d z a m b a ɬ a
ndzom	n d z o m
ndzu	n d z u
ndʐuwa	n d ʐ u w a
ndʐɯm	n d ʐ ɯ m
ndʑifkur	n d ʑ i f k u r
ndʑijaʁ	n d ʑ i j a ʁ
ndʑiku	n d ʑ i k u
ndʑimu	n d ʑ i m u
ndʑimɯntoʁ	n d ʑ i m ɯ n t o ʁ
ndʑimɲaʁ	n d ʑ i m ɲ a ʁ
ndʑindzɤtshi	n d ʑ i n d z ɤ t s h i
ndʑindʐi	n d ʑ i n d ʐ i
ndʑipɯ	n d ʑ i p ɯ
ndʑirca	n d ʑ i r c a
ndʑirkɯ	n d ʑ i r k ɯ
ndʑirme	n d ʑ i r m e
ndʑirmi	n d ʑ i r m i
ndʑiru	n d ʑ i r u
ndʑisroʁ	n d ʑ i s r o ʁ
ndʑitaʁ	n d ʑ i t a ʁ
ndʑitɯtaʁ	n d ʑ i t ɯ t a ʁ
ndʑiwa	n d ʑ i w a
ndʑiʁrɯ	n d ʑ i ʁ r ɯ
ndʑiʁzɯɣ	n d ʑ i ʁ z ɯ ɣ
nongcun	n o n g c u n
noŋstɤn	n o ŋ s t ɤ n
ntoʁntoʁ	n t o ʁ n t o ʁ
nɤcha	n ɤ c h a
nɤgrɤl	n ɤ g r ɤ l
nɤkɤndza	n ɤ k ɤ n d z a
nɤkɤnɯmgro	n ɤ k ɤ n ɯ m g r o
nɤkɯpe	n ɤ k ɯ p e
nɤkɯthu	n ɤ k ɯ t h u
nɤmke	n ɤ m k e
nɤmphɯz	n ɤ m p h ɯ z
nɤmŋɤmnɯ	n ɤ m ŋ ɤ m n ɯ
nɤndzrɯ	n ɤ n d z r ɯ
nɤndʐa	n ɤ n d ʐ a
nɤqaɟy	n ɤ q a ɟ y
nɤri	n ɤ r i
nɤrkɯ	n ɤ r k ɯ
nɤrqo	n ɤ r q o
nɤru	n ɤ r u
nɤsni	n ɤ s n i
nɤsta	n ɤ s t a
nɤtsa	n ɤ t s a
nɤtshɯɣa	n ɤ t s h ɯ ɣ a
nɤtɯci	n ɤ t ɯ c i
nɤtɯmɲa	n ɤ t ɯ m ɲ a
nɤzda	n ɤ z d a
nɤŋga	n ɤ ŋ g a
nɤɬaʁ	n ɤ ɬ a ʁ
nɤʁaʁi	n ɤ ʁ a ʁ i
nɤʁla	n ɤ ʁ l a
nɤʁzɯɣ	n ɤ ʁ z ɯ ɣ
nɤβlu	n ɤ β l u
nɯaci	n ɯ a c i
nɯala	n ɯ a l a
nɯanɯrɕo	n ɯ a n ɯ r ɕ o
nɯatɯɣndʑi	n ɯ a t ɯ ɣ n d ʑ i
nɯaβzua	n ɯ a β z u a
nɯfsapaʁ	n ɯ f s a p a ʁ
nɯfse	n ɯ f s e
nɯfsu	n ɯ f s u
nɯjaʁndzu	n ɯ j a ʁ n d z u
nɯjaʁsta	n ɯ j a ʁ s t a
nɯjpum	n ɯ j p u m
nɯjʁo	n ɯ j ʁ o
nɯkhrɯ	n ɯ k h r ɯ
nɯkhɤjmu	n ɯ k h ɤ j m u
nɯkrotɕi	n ɯ k r o t ɕ i
nɯkɤcha	n ɯ k ɤ c h a
nɯkɤkhrɤt	n ɯ k ɤ k h r ɤ t
nɯkɤlɤt	n ɯ k ɤ l ɤ t
nɯkɤnɤmpɕɤr	n ɯ k ɤ n ɤ m p ɕ ɤ r
nɯkɤnɯti	n ɯ k ɤ n ɯ t i
nɯkɤsɯxɕɤt	n ɯ k ɤ s ɯ x ɕ ɤ t
nɯkɤsɯɣrom	n ɯ k ɤ s ɯ ɣ r o m
nɯkɤti	n ɯ k ɤ t i
nɯkɤtɕɤt	n ɯ k ɤ t ɕ ɤ t
nɯkɤχtɤr	n ɯ k ɤ χ t ɤ r
nɯkɯkhrɯ	n ɯ k ɯ k h r ɯ
nɯkɯm	n ɯ k ɯ m
nɯkɯmbia	n ɯ k ɯ m b i a
nɯkɯnɤstɯstu	n ɯ k ɯ n ɤ s t ɯ s t u
nɯkɯnɯkhamu	n ɯ k ɯ n ɯ k h a m u
nɯkɯri	n ɯ k ɯ r i
nɯkɯtɕhaʁ	n ɯ k ɯ t ɕ h a ʁ
nɯkɯxtsu	n ɯ k ɯ x t s u
nɯkɯɤmphɯmphri	n ɯ k ɯ ɤ m p h ɯ m p h r i
nɯkɯɤtɕaʁ	n ɯ k ɯ ɤ t ɕ a ʁ
nɯkɯɲaʁ	n ɯ k ɯ ɲ a ʁ
nɯlaχtɕha	n ɯ l a χ t ɕ h a
nɯmar	n ɯ m a r
nɯmbinɯ	n ɯ m b i n ɯ
nɯmbrɯtɕɯ	n ɯ m b r ɯ t ɕ ɯ
nɯmbɯlwa	n ɯ m b ɯ l w a
nɯmbɯt	n ɯ m b ɯ t
nɯmkhɯrlu	n ɯ m k h ɯ r l u
nɯmtshɯntɕha	n ɯ m t s h ɯ n t ɕ h a
nɯmtsioʁ	n ɯ m t s i o ʁ
nɯmɤkɯpe	n ɯ m ɤ k ɯ p e
nɯmɯnmu	n ɯ m ɯ n m u
nɯmɯntoʁ	n ɯ m ɯ n t o ʁ
nɯnaj	n ɯ n a j
nɯndza	n ɯ n d z a
nɯnɤχcɤl	n ɯ n ɤ χ c ɤ l
nɯnɯjmɯt	n ɯ n ɯ j m ɯ t
nɯnɯmbɯt	n ɯ n ɯ m b ɯ t
nɯnɯtu	n ɯ n ɯ t u
nɯnɯɕara	n ɯ n ɯ ɕ a r a
nɯnɯɴɢɤtnɯ	n ɯ n ɯ ɴ ɢ ɤ t n ɯ
nɯphɯtnɯ	n ɯ p h ɯ t n ɯ
nɯpɤrthɤβ	n ɯ p ɤ r t h ɤ β
nɯqa	n ɯ q a
nɯqhoχpa	n ɯ q h o χ p a
nɯqhu	n ɯ q h u
nɯqro	n ɯ q r o
nɯraʁ	n ɯ r a ʁ
nɯrgea	n ɯ r g e a
nɯrkɯ	n ɯ r k ɯ
nɯrna	n ɯ r n a
nɯrɟɤlkhɤβ	n ɯ r ɟ ɤ l k h ɤ β
nɯrɟɤβlun	n ɯ r ɟ ɤ β l u n
nɯrɟɯ	n ɯ r ɟ ɯ
nɯrɤku	n ɯ r ɤ k u
nɯrɯmɯntoʁ	n ɯ r ɯ m ɯ n t o ʁ
nɯsakaβ	n ɯ s a k a β
nɯshoudu	n ɯ s h o u d u
nɯsinɯ	n ɯ s i n ɯ
nɯsloχpɯn	n ɯ s l o χ p ɯ n
nɯsmi	n ɯ s m i
nɯsmɤn	n ɯ s m ɤ n
nɯsɤrŋgɯ	n ɯ s ɤ r ŋ g ɯ
nɯsɤŋo	n ɯ s ɤ ŋ o
nɯtalɤt	n ɯ t a l ɤ t
nɯthɯ	n ɯ t h ɯ
nɯxtsu	n ɯ x t s u
nɯxɕɤt	n ɯ x ɕ ɤ t
nɯzga	n ɯ z g a
nɯɕara	n ɯ ɕ a r a
nɯɕej	n ɯ ɕ e j
nɯɣli	n ɯ ɣ l i
nɯɣɯmto	n ɯ ɣ ɯ m t o
nɯɣɯtshɤdɯɣ	n ɯ ɣ ɯ t s h ɤ d ɯ ɣ
nɯɣɯŋga	n ɯ ɣ ɯ ŋ g a
nɯʁmaʁmi	n ɯ ʁ m a ʁ m i
nɯʑi	n ɯ ʑ i
nɯʑɯβdaʁ	n ɯ ʑ ɯ β d a ʁ
nɯʑɯβnɯ	n ɯ ʑ ɯ β n ɯ
nɯ́wɣmbia	n ɯ ́ w ɣ m b i a
nɯβdaʁmu	n ɯ β d a ʁ m u
nɯβde	n ɯ β d e
nɯβri	n ɯ β r i
nɯχpi	n ɯ χ p i
nɯχsɤr	n ɯ χ s ɤ r
pafɕɤt	p a f ɕ ɤ t
pandɯn	p a n d ɯ n
paphɯtnɯ	p a p h ɯ t n ɯ
pata	p a t a
patɕi	p a t ɕ i
pazɣɯtnɯ	p a z ɣ ɯ t n ɯ
paʁmu	p a ʁ m u
paʁndʐi	p a ʁ n d ʐ i
phamafka	p h a m a f k a
pho	p h o
phoroʁ	p h o r o ʁ
phɯ	p h ɯ
phɯrpa	p h ɯ r p a
phɯtʂhɯzɯ	p h ɯ t ʂ h ɯ z ɯ
pjɤchanɯ	p j ɤ c h a n ɯ
pjɤchi	p j ɤ c h i
pjɤfsoʁ	p j ɤ f s o ʁ
pjɤja	p j ɤ j a
pjɤji	p j ɤ j i
pjɤjpɣom	p j ɤ j p ɣ o m
pjɤjtɯ	p j ɤ j t ɯ
pjɤkhe	p j ɤ k h e
pjɤkɤmarci	p j ɤ k ɤ m a r c i
pjɤkɤmɯmindʑi	p j ɤ k ɤ m ɯ m i n d ʑ i
pjɤkɤnɯmdzɯci	p j ɤ k ɤ n ɯ m d z ɯ c i
pjɤkɤrmbɯci	p j ɤ k ɤ r m b ɯ c i
pjɤkɤrɕoci	p j ɤ k ɤ r ɕ o c i
pjɤkɤsɯtʂɯβci	p j ɤ k ɤ s ɯ t ʂ ɯ β c i
pjɤkɤsɯβzuci	p j ɤ k ɤ s ɯ β z u c i
pjɤkɤsɯβzunɯ	p j ɤ k ɤ s ɯ β z u n ɯ
pjɤkɤtsaci	p j ɤ k ɤ t s a c i
pjɤkɤznɤnɯnoci	p j ɤ k ɤ z n ɤ n ɯ n o c i
pjɤkɤɣɯɕkatci	p j ɤ k ɤ ɣ ɯ ɕ k a t c i
pjɤkɤβraʁci	p j ɤ k ɤ β r a ʁ c i
pjɤmbri	p j ɤ m b r i
pjɤmbro	p j ɤ m b r o
pjɤmbɯtnɯ	p j ɤ m b ɯ t n ɯ
pjɤmenɯ	p j ɤ m e n ɯ
pjɤmkhrɯn	p j ɤ m k h r ɯ n
pjɤmtshɤmndʑi	p j ɤ m t s h ɤ m n d ʑ i
pjɤmtsɯrɕpaʁ	p j ɤ m t s ɯ r ɕ p a ʁ
pjɤn	p j ɤ n
pjɤnaχtɕɯɣ	p j ɤ n a χ t ɕ ɯ ɣ
pjɤndɯn	p j ɤ n d ɯ n
pjɤnɤmtshɤr	p j ɤ n ɤ m t s h ɤ r
pjɤnɤrɕɤmŋɤm	p j ɤ n ɤ r ɕ ɤ m ŋ ɤ m
pjɤnɤsɤɣdɯɣnɯ	p j ɤ n ɤ s ɤ ɣ d ɯ ɣ n ɯ
pjɤnɤtsoʁnɯ	p j ɤ n ɤ t s o ʁ n ɯ
pjɤnɤɴqa	p j ɤ n ɤ ɴ q a
pjɤnɤʁaʁndʑi	p j ɤ n ɤ ʁ a ʁ n d ʑ i
pjɤnɯfɕɤtnɯ	p j ɤ n ɯ f ɕ ɤ t n ɯ
pjɤnɯlɤt	p j ɤ n ɯ l ɤ t
pjɤnɯntɕhanɯ	p j ɤ n ɯ n t ɕ h a n ɯ
pjɤnɯphaʁɲɤl	p j ɤ n ɯ p h a ʁ ɲ ɤ l
pjɤnɯphɯt	p j ɤ n ɯ p h ɯ t
pjɤnɯrganɯ	p j ɤ n ɯ r g a n ɯ
pjɤnɯsat	p j ɤ n ɯ s a t
pjɤnɯzrɯɣru	p j ɤ n ɯ z r ɯ ɣ r u
pjɤnɯɣmu	p j ɤ n ɯ ɣ m u
pjɤnɯʑɯβnɯ	p j ɤ n ɯ ʑ ɯ β n ɯ
pjɤqarŋe	p j ɤ q a r ŋ e
pjɤqha	p j ɤ q h a
pjɤqlɯt	p j ɤ q l ɯ t
pjɤqraʁ	p j ɤ q r a ʁ
pjɤrganɯ	p j ɤ r g a n ɯ
pjɤrkaŋ	p j ɤ r k a ŋ
pjɤrku	p j ɤ r k u
pjɤrmanɯ	p j ɤ r m a n ɯ
pjɤrmbɯ	p j ɤ r m b ɯ
pjɤru	p j ɤ r u
pjɤrɟaʁ	p j ɤ r ɟ a ʁ
pjɤrɟaʁnɯ	p j ɤ r ɟ a ʁ n ɯ
pjɤrɤtɕaʁ	p j ɤ r ɤ t ɕ a ʁ
pjɤrɯkhɤcɤlnɯ	p j ɤ r ɯ k h ɤ c ɤ l n ɯ
pjɤrɯkɯŋu	p j ɤ r ɯ k ɯ ŋ u
pjɤrɲo	p j ɤ r ɲ o
pjɤrʑi	p j ɤ r ʑ i
pjɤsatnɯ	p j ɤ s a t n ɯ
pjɤschɤt	p j ɤ s c h ɤ t
pjɤscitnɯ	p j ɤ s c i t n ɯ
pjɤsindʑi	p j ɤ s i n d ʑ i
pjɤsɤmtshɤr	p j ɤ s ɤ m t s h ɤ r
pjɤsɯphaʁ	p j ɤ s ɯ p h a ʁ
pjɤsɯphɯt	p j ɤ s ɯ p h ɯ t
pjɤsɯsat	p j ɤ s ɯ s a t
pjɤsɯxɕe	p j ɤ s ɯ x ɕ e
pjɤsɯɣʑi	p j ɤ s ɯ ɣ ʑ i
pjɤtsɯm	p j ɤ t s ɯ m
pjɤtɕɤtnɯ	p j ɤ t ɕ ɤ t n ɯ
pjɤxtɕhɯtnɯ	p j ɤ x t ɕ h ɯ t n ɯ
pjɤzɣɤtɕa	p j ɤ z ɣ ɤ t ɕ a
pjɤŋgra	p j ɤ ŋ g r a
pjɤɕqraʁndʑi	p j ɤ ɕ q r a ʁ n d ʑ i
pjɤɕtinɯ	p j ɤ ɕ t i n ɯ
pjɤɕɯnŋo	p j ɤ ɕ ɯ n ŋ o
pjɤɣinɯ	p j ɤ ɣ i n ɯ
pjɤɣndʑɯr	p j ɤ ɣ n d ʑ ɯ r
pjɤɣɤmɯ	p j ɤ ɣ ɤ m ɯ
pjɤɣɤrɤtnɯ	p j ɤ ɣ ɤ r ɤ t n ɯ
pjɤɣɤɕqalindʑi	p j ɤ ɣ ɤ ɕ q a l i n d ʑ i
pjɤɣɤχsrɯ	p j ɤ ɣ ɤ χ s r ɯ
pjɤɲɟo	p j ɤ ɲ ɟ o
pjɤʁndzɤr	p j ɤ ʁ n d z ɤ r
pjɤʑɣɤsɯsat	p j ɤ ʑ ɣ ɤ s ɯ s a t
pjɤ́wɣ	p j ɤ ́ w ɣ
pjɤ́wɣmtshɤm	p j ɤ ́ w ɣ m t s h ɤ m
pjɤ́wɣsɤzɣɯt	p j ɤ ́ w ɣ s ɤ z ɣ ɯ t
pjɤ́wɣsɯmto	p j ɤ ́ w ɣ s ɯ m t o
pjɤ́wɣɣɤrɤt	p j ɤ ́ w ɣ ɣ ɤ r ɤ t
pjɤβdi	p j ɤ β d i
pjɤχtɕi	p j ɤ χ t ɕ i
pjɤχɕu	p j ɤ χ ɕ u
pjɯkɤnɯji	p j ɯ k ɤ n ɯ j i
pjɯkɤnɯχsu	p j ɯ k ɤ n ɯ χ s u
pjɯkɤta	p j ɯ k ɤ t a
pjɯkɯntɕhɤr	p j ɯ k ɯ n t ɕ h ɤ r
pjɯkɯrɯsɯso	p j ɯ k ɯ r ɯ s ɯ s o
pjɯkɯsi	p j ɯ k ɯ s i
pjɯkɯsɯɣe	p j ɯ k ɯ s ɯ ɣ e
pjɯkɯɕthɯz	p j ɯ k ɯ ɕ t h ɯ z
pjɯkɯɴqoʁ	p j ɯ k ɯ ɴ q o ʁ
pjɯkɯɴɢraʁ	p j ɯ k ɯ ɴ ɢ r a ʁ
pjɯlɣe	p j ɯ l ɣ e
pjɯmbɯt	p j ɯ m b ɯ t
pjɯme	p j ɯ m e
pjɯmnata	p j ɯ m n a t a
pjɯmtshama	p j ɯ m t s h a m a
pjɯndʐaβnɯ	p j ɯ n d ʐ a β n ɯ
pjɯnoj	p j ɯ n o j
pjɯnɯfse	p j ɯ n ɯ f s e
pjɯnɯkon	p j ɯ n ɯ k o n
pjɯnɯlɤtnɯ	p j ɯ n ɯ l ɤ t n ɯ
pjɯnɯrɕɯrɕɤt	p j ɯ n ɯ r ɕ ɯ r ɕ ɤ t
pjɯnɯɕtara	p j ɯ n ɯ ɕ t a r a
pjɯnɯɕtarnɯ	p j ɯ n ɯ ɕ t a r n ɯ
pjɯqarŋe	p j ɯ q a r ŋ e
pjɯqraʁ	p j ɯ q r a ʁ
pjɯqrɤz	p j ɯ q r ɤ z
pjɯre	p j ɯ r e
pjɯrke	p j ɯ r k e
pjɯrmbi	p j ɯ r m b i
pjɯrɟaʁ	p j ɯ r ɟ a ʁ
pjɯrɤkrɯnɯ	p j ɯ r ɤ k r ɯ n ɯ
pjɯrɤɕi	p j ɯ r ɤ ɕ i
pjɯrɲɟi	p j ɯ r ɲ ɟ i
pjɯrʑi	p j ɯ r ʑ i
pjɯsia	p j ɯ s i a
pjɯsmi	p j ɯ s m i
pjɯsqarŋe	p j ɯ s q a r ŋ e
pjɯsɤsɯxɕata	p j ɯ s ɤ s ɯ x ɕ a t a
pjɯsɤta	p j ɯ s ɤ t a
pjɯsɤtsaj	p j ɯ s ɤ t s a j
pjɯsɤxɕe	p j ɯ s ɤ x ɕ e
pjɯsɯqhrɯt	p j ɯ s ɯ q h r ɯ t
pjɯsɯspoʁnɯ	p j ɯ s ɯ s p o ʁ n ɯ
pjɯsɯxɕɤt	p j ɯ s ɯ x ɕ ɤ t
pjɯsɯɣlenɯ	p j ɯ s ɯ ɣ l e n ɯ
pjɯsɯɴqhi	p j ɯ s ɯ ɴ q h i
pjɯtasɯmto	p j ɯ t a s ɯ m t o
pjɯtasɯxɕɤt	p j ɯ t a s ɯ x ɕ ɤ t
pjɯtea	p j ɯ t e a
pjɯtɕɤtnɯ	p j ɯ t ɕ ɤ t n ɯ
pjɯtɯfɕɤt	p j ɯ t ɯ f ɕ ɤ t
pjɯtɯsi	p j ɯ t ɯ s i
pjɯtɯɣ	p j ɯ t ɯ ɣ
pjɯtɯ́wɣsɯmto	p j ɯ t ɯ ́ w ɣ s ɯ m t o
pjɯɕke	p j ɯ ɕ k e
pjɯɕkɯt	p j ɯ ɕ k ɯ t
pjɯɣnde	p j ɯ ɣ n d e
pjɯɣɤlanɯ	p j ɯ ɣ ɤ l a n ɯ
pjɯɣɯt	p j ɯ ɣ ɯ t
pjɯɤnɯtɤr	p j ɯ ɤ n ɯ t ɤ r
pjɯɲaʁ	p j ɯ ɲ a ʁ
pjɯɴɢlɯtnɯ	p j ɯ ɴ ɢ l ɯ t n ɯ
pjɯʁndzɤrnɯ	p j ɯ ʁ n d z ɤ r n ɯ
pjɯʑea	p j ɯ ʑ e a
pjɯʑɣɤɕɯɴqoʁ	p j ɯ ʑ ɣ ɤ ɕ ɯ ɴ q o ʁ
pjɯ́wɣfkri	p j ɯ ́ w ɣ f k r i
pjɯ́wɣkra	p j ɯ ́ w ɣ k r a
pjɯ́wɣnɤrqaʁ	p j ɯ ́ w ɣ n ɤ r q a ʁ
pjɯ́wɣnɤstɤr	p j ɯ ́ w ɣ n ɤ s t ɤ r
pjɯ́wɣnɯlɤt	p j ɯ ́ w ɣ n ɯ l ɤ t
pjɯ́wɣnɯsqa	p j ɯ ́ w ɣ n ɯ s q a
pjɯ́wɣnɯta	p j ɯ ́ w ɣ n ɯ t a
pjɯ́wɣnɯχtɕi	p j ɯ ́ w ɣ n ɯ χ t ɕ i
pjɯ́wɣqaʁ	p j ɯ ́ w ɣ q a ʁ
pjɯ́wɣrɤt	p j ɯ ́ w ɣ r ɤ t
pjɯ́wɣsɤʑɯrja	p j ɯ ́ w ɣ s ɤ ʑ ɯ r j a
pjɯ́wɣtshi	p j ɯ ́ w ɣ t s h i
pjɯ́wɣznɤndɤɣnɯ	p j ɯ ́ w ɣ z n ɤ n d ɤ ɣ n ɯ
pjɯ́wɣβlɯ	p j ɯ ́ w ɣ β l ɯ
pjɯ́wɣχsu	p j ɯ ́ w ɣ χ s u
pjɯβlɯnɯ	p j ɯ β l ɯ n ɯ
pjɯβzuj	p j ɯ β z u j
pot	p o t
pru	p r u
prɤkɤŋgɯ	p r ɤ k ɤ ŋ g ɯ
prɤrkɯ	p r ɤ r k ɯ
prɯŋprɯŋ	p r ɯ ŋ p r ɯ ŋ
puj	p u j
puluoxiusi	p u l u o x i u s i
putong	p u t o n g
pɕi	p ɕ i
pɣɤmuj	p ɣ ɤ m u j
pɣɤtɕu	p ɣ ɤ t ɕ u
pɤɕthɤβ	p ɤ ɕ t h ɤ β
pɤɣrɤco	p ɤ ɣ r ɤ c o
pɯamɯmitɕi	p ɯ a m ɯ m i t ɕ i
pɯanɯri	p ɯ a n ɯ r i
pɯari	p ɯ a r i
pɯazgɯr	p ɯ a z g ɯ r
pɯcha	p ɯ c h a
pɯdɤnnɯ	p ɯ d ɤ n n ɯ
pɯkhɯ	p ɯ k h ɯ
pɯkɤfkri	p ɯ k ɤ f k r i
pɯkɤji	p ɯ k ɤ j i
pɯkɤlɣa	p ɯ k ɤ l ɣ a
pɯkɤnɯji	p ɯ k ɤ n ɯ j i
pɯkɤrkhe	p ɯ k ɤ r k h e
pɯkɤrɤpɣi	p ɯ k ɤ r ɤ p ɣ i
pɯkɤsɤtsa	p ɯ k ɤ s ɤ t s a
pɯkɤχtsɤβ	p ɯ k ɤ χ t s ɤ β
pɯkɯ	p ɯ k ɯ
pɯkɯcha	p ɯ k ɯ c h a
pɯkɯlni	p ɯ k ɯ l n i
pɯkɯngo	p ɯ k ɯ n g o
pɯkɯnɯna	p ɯ k ɯ n ɯ n a
pɯkɯnɯrŋgɯ	p ɯ k ɯ n ɯ r ŋ g ɯ
pɯkɯnɯŋɯŋu	p ɯ k ɯ n ɯ ŋ ɯ ŋ u
pɯkɯɕke	p ɯ k ɯ ɕ k e
pɯkɯɣ	p ɯ k ɯ ɣ
pɯkɯɣɤtsɯr	p ɯ k ɯ ɣ ɤ t s ɯ r
pɯkɯɤri	p ɯ k ɯ ɤ r i
pɯkɯɬoʁ	p ɯ k ɯ ɬ o ʁ
pɯkɯɲɟo	p ɯ k ɯ ɲ ɟ o
pɯkɯɴqoʁ	p ɯ k ɯ ɴ q o ʁ
pɯkɯɴɢlɯt	p ɯ k ɯ ɴ ɢ l ɯ t
pɯkɯɴɢraʁ	p ɯ k ɯ ɴ ɢ r a ʁ
pɯmbat	p ɯ m b a t
pɯmŋɤm	p ɯ m ŋ ɤ m
pɯndzura	p ɯ n d z u r a
pɯndɯn	p ɯ n d ɯ n
pɯndɯna	p ɯ n d ɯ n a
pɯnɯrtsɯ	p ɯ n ɯ r t s ɯ
pɯnɯŋgra	p ɯ n ɯ ŋ g r a
pɯpa	p ɯ p a
pɯpafkaβ	p ɯ p a f k a β
pɯpɯkɯcha	p ɯ p ɯ k ɯ c h a
pɯpɯme	p ɯ p ɯ m e
pɯpɯra	p ɯ p ɯ r a
pɯpɯtɯnŋo	p ɯ p ɯ t ɯ n ŋ o
pɯrtaʁ	p ɯ r t a ʁ
pɯrŋgɯ	p ɯ r ŋ g ɯ
pɯrɤt	p ɯ r ɤ t
pɯsat	p ɯ s a t
pɯscitndʑi	p ɯ s c i t n d ʑ i
pɯscittɕi	p ɯ s c i t t ɕ i
pɯsthɯttɕi	p ɯ s t h ɯ t t ɕ i
pɯsɤscit	p ɯ s ɤ s c i t
pɯsɤɣdɯɣ	p ɯ s ɤ ɣ d ɯ ɣ
pɯsɯɣe	p ɯ s ɯ ɣ e
pɯtanɯβlu	p ɯ t a n ɯ β l u
pɯtasɯxɕɤt	p ɯ t a s ɯ x ɕ ɤ t
pɯtaɕɯnŋo	p ɯ t a ɕ ɯ n ŋ o
pɯtshoz	p ɯ t s h o z
pɯtɯcha	p ɯ t ɯ c h a
pɯtɯfɕɤt	p ɯ t ɯ f ɕ ɤ t
pɯtɯmtshɤm	p ɯ t ɯ m t s h ɤ m
pɯtɯrnaʁ	p ɯ t ɯ r n a ʁ
pɯtɯsɯxtʂɯn	p ɯ t ɯ s ɯ x t ʂ ɯ n
pɯtɯβʁa	p ɯ t ɯ β ʁ a
pɯɕe	p ɯ ɕ e
pɯɕtij	p ɯ ɕ t i j
pɯɣɤndʐo	p ɯ ɣ ɤ n d ʐ o
pɯɴɢraʁ	p ɯ ɴ ɢ r a ʁ
pɯ́wɣsɯz	p ɯ ́ w ɣ s ɯ z
pɯ́wɣɣɟaβ	p ɯ ́ w ɣ ɣ ɟ a β
qachga	q a c h g a
qachɣandʐi	q a c h ɣ a n d ʐ i
qajdoɕku	q a j d o ɕ k u
qajlɤco	q a j l ɤ c o
qalapɯ	q a l a p ɯ
qamphoʁ	q a m p h o ʁ
qamtsɯrpɣɤtɕɯ	q a m t s ɯ r p ɣ ɤ t ɕ ɯ
qaprɤŋar	q a p r ɤ ŋ a r
qawoʁkɯm	q a w o ʁ k ɯ m
qaʑomu	q a ʑ o m u
qi	q i
qiaomai	q i a o m a i
qiezi	q i e z i
